time,symbol,signal,action,price,lots,sl_pips,tp_pips,order_result
2025-12-03 00:11:33.914169,USDJPYm,1,BUY,155.75,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022990062, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956274, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.76, stoplimit=0.0, sl=155.56, tp=156.16, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:12:04.050805,USDJPYm,1,BUY,155.739,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022990844, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956275, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.749, stoplimit=0.0, sl=155.549, tp=156.149, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:12:34.195253,USDJPYm,1,BUY,155.737,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022991807, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956276, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.747, stoplimit=0.0, sl=155.54700000000003, tp=156.14700000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:13:04.330460,USDJPYm,1,BUY,155.734,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022992513, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956277, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.744, stoplimit=0.0, sl=155.544, tp=156.144, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:13:34.465310,USDJPYm,1,BUY,155.738,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022992996, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956278, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.748, stoplimit=0.0, sl=155.548, tp=156.148, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:14:04.599959,USDJPYm,1,BUY,155.74,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022993800, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956279, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.75, stoplimit=0.0, sl=155.55, tp=156.15, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:14:34.734621,USDJPYm,1,BUY,155.723,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022994794, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956280, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.733, stoplimit=0.0, sl=155.53300000000002, tp=156.133, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:15:04.873938,USDJPYm,1,BUY,155.714,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022995306, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956281, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.724, stoplimit=0.0, sl=155.524, tp=156.124, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:15:35.003936,USDJPYm,1,BUY,155.7,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022996026, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956282, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.71, stoplimit=0.0, sl=155.51000000000002, tp=156.11, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:16:05.128037,USDJPYm,1,BUY,155.702,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022996869, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956283, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.712, stoplimit=0.0, sl=155.512, tp=156.112, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:16:35.269407,USDJPYm,1,BUY,155.699,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022997814, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956284, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.709, stoplimit=0.0, sl=155.50900000000001, tp=156.109, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:17:05.395560,USDJPYm,1,BUY,155.718,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022998513, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956285, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.728, stoplimit=0.0, sl=155.52800000000002, tp=156.12800000000001, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:17:35.538125,USDJPYm,1,BUY,155.711,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022999352, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956286, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.721, stoplimit=0.0, sl=155.52100000000002, tp=156.121, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:18:05.669866,USDJPYm,1,BUY,155.703,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2022999852, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956287, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.713, stoplimit=0.0, sl=155.513, tp=156.113, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:18:35.827764,USDJPYm,1,BUY,155.702,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023000473, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956288, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.712, stoplimit=0.0, sl=155.512, tp=156.112, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:19:05.963139,USDJPYm,1,BUY,155.714,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023001154, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956289, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.724, stoplimit=0.0, sl=155.524, tp=156.124, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:19:36.111678,USDJPYm,1,BUY,155.714,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023001536, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956290, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.724, stoplimit=0.0, sl=155.524, tp=156.124, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:20:06.239075,USDJPYm,1,BUY,155.713,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023002021, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956291, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.723, stoplimit=0.0, sl=155.52300000000002, tp=156.12300000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:20:36.369885,USDJPYm,1,BUY,155.7,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023002534, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956292, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.71, stoplimit=0.0, sl=155.51000000000002, tp=156.11, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:21:06.505672,USDJPYm,1,BUY,155.706,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023003759, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956293, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.716, stoplimit=0.0, sl=155.51600000000002, tp=156.116, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:21:36.629831,USDJPYm,1,BUY,155.711,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023004328, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956294, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.721, stoplimit=0.0, sl=155.52100000000002, tp=156.121, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:22:06.774770,USDJPYm,1,BUY,155.713,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023005000, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956295, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.723, stoplimit=0.0, sl=155.52300000000002, tp=156.12300000000002, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
2025-12-03 00:22:36.917238,USDJPYm,1,BUY,155.712,0.01,20,40,"OrderSendResult(retcode=10044, deal=0, order=2023005758, volume=0.01, price=0.0, bid=0.0, ask=0.0, comment='Phase6_Bot', request_id=1207956296, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.722, stoplimit=0.0, sl=155.52200000000002, tp=156.122, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase6_Bot', position=0, position_by=0))"
