time,symbol,signal,action,price,equity,lots,sl_pips,tp_pips,order_result
2025-12-01 20:53:24.413426,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:53:54.442540,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:54:24.482898,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 20:54:54.552976,USDJPYm,-1,SELL,155.516,10020.06,0.01,40,5,"OrderSendResult(retcode=10031, deal=0, order=0, volume=0.0, price=0.0, bid=0.0, ask=0.0, comment='Request rejected due to absence of network connection', request_id=0, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.516, stoplimit=0.0, sl=155.916, tp=155.46599999999998, deviation=20, type=1, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:01:04.979260,USDJPYm,1,BUY,155.443,10024.37,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577969672, order=2017070511, volume=0.01, price=155.451, bid=155.441, ask=155.451, comment='Phase4_Bot', request_id=4171122788, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.451, stoplimit=0.0, sl=155.051, tp=155.471, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:01:35.584886,USDJPYm,1,BUY,155.44,10024.3,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577971782, order=2017072805, volume=0.01, price=155.451, bid=155.441, ask=155.451, comment='Phase4_Bot', request_id=4171122789, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.45, stoplimit=0.0, sl=155.04999999999998, tp=155.47, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:02:08.536888,USDJPYm,1,BUY,155.438,10024.21,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577973445, order=2017074746, volume=0.01, price=155.45600000000002, bid=155.43800000000002, ask=155.45600000000002, comment='Phase4_Bot', request_id=4171122790, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.456, stoplimit=0.0, sl=155.05599999999998, tp=155.476, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:02:39.609459,USDJPYm,1,BUY,155.442,10024.16,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577974850, order=2017076374, volume=0.01, price=155.452, bid=155.442, ask=155.452, comment='Phase4_Bot', request_id=4171122791, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.452, stoplimit=0.0, sl=155.052, tp=155.472, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:03:10.158715,USDJPYm,1,BUY,155.437,10023.97,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577976314, order=2017078001, volume=0.01, price=155.447, bid=155.437, ask=155.447, comment='Phase4_Bot', request_id=4171122792, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.447, stoplimit=0.0, sl=155.047, tp=155.467, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
2025-12-01 21:03:40.750786,USDJPYm,1,BUY,155.44,10024.0,0.01,40,2,"OrderSendResult(retcode=10009, deal=1577976896, order=2017078751, volume=0.01, price=155.453, bid=155.435, ask=155.453, comment='Phase4_Bot', request_id=4171122793, retcode_external=0, request=TradeRequest(action=1, magic=234000, order=0, symbol='USDJPYm', volume=0.01, price=155.45, stoplimit=0.0, sl=155.04999999999998, tp=155.47, deviation=20, type=0, type_filling=0, type_time=0, expiration=0, comment='Phase4_Bot', position=0, position_by=0))"
